,message_id,dt,text,sender_id,source
0,12466,2022-04-08 19:06:13,"Продам $ по 90,Москва юго-запад",578982915,DollarEuroFrank
1,12465,2022-04-08 19:02:46,Продам 1000$ по 100 руб. Рязань,402292243,DollarEuroFrank
2,12464,2022-04-08 19:02:09,,369714644,DollarEuroFrank
3,12463,2022-04-08 18:59:53,Продаю $100 - 2 шт  Краснодар,688884017,DollarEuroFrank
4,12462,2022-04-08 18:56:41,Хабаровск 7000$ по 95р,672293422,DollarEuroFrank
5,12461,2022-04-08 18:51:12,,274610965,DollarEuroFrank
6,12460,2022-04-08 18:50:23,"Продам баксы по 89
Москва",517069234,DollarEuroFrank
7,12459,2022-04-08 18:50:21,"Хабаровск ‼️ продам 10К $- 105р
40К € -120р Проверка в банке",1245324237,DollarEuroFrank
8,12458,2022-04-08 18:48:30,"Куплю $ по 85 р. 
Куплю € по 90 р. 
Москва ЮВАО",1257005369,DollarEuroFrank
9,12457,2022-04-08 18:46:12,"Доллар новые 105, евро 110 (купюры по 100)! Проверка в банке! Зеленоград",1277809701,DollarEuroFrank
10,12456,2022-04-08 18:38:39,"В Минске 
Доллары продаю 
16 тыс",1076205841,DollarEuroFrank
11,12455,2022-04-08 18:35:29,"💵🇺🇸USD Американский доллар,продаю в Санкт-Петербурге.",1990667504,DollarEuroFrank
12,12454,2022-04-08 18:34:46,,300313816,DollarEuroFrank
13,12453,2022-04-08 18:34:36,Продам $ во Владимирской обл .,374224605,DollarEuroFrank
14,12452,2022-04-08 18:33:56,Продам 10т евро по 95.г Самара,920293234,DollarEuroFrank
15,12451,2022-04-08 18:32:39,,1076205841,DollarEuroFrank
16,12450,2022-04-08 18:31:58,Меняю 💶 наличку на usdt мск,563766361,DollarEuroFrank
17,12449,2022-04-08 18:30:15,,519875659,DollarEuroFrank
18,12448,2022-04-08 18:28:00,Москва.700 евро продам по 90. номинал 500 и 200,797164142,DollarEuroFrank
19,12447,2022-04-08 18:27:35,Мне надо продать. Как бы подстраховаться от людей в погонах. Есть варианты?,1342993250,DollarEuroFrank
20,12446,2022-04-08 18:23:15,"Москва, Центр, продам по 89р доллары",5184328819,DollarEuroFrank
21,12445,2022-04-08 18:21:36,Продам баксы за 120,1606938627,DollarEuroFrank
22,12444,2022-04-08 18:21:12,,1606938627,DollarEuroFrank
23,12443,2022-04-08 18:19:51,Куплю 1000 $ по 85  Москва,1796232637,DollarEuroFrank
24,12442,2022-04-08 18:19:18,кто продаст дол и евро в Екатеринбурге?,332804909,DollarEuroFrank
