,message_id,dt,text,sender_id,source
60,14844,2022-04-18 12:45:44,Срочно продам € в Челябинске,5158078844,DollarEuroFrank
61,14843,2022-04-18 12:26:41,"Продам 10к usd по 90р чебоксары, Банкноты новые, проверка приветствуется",1616489377,DollarEuroFrank
62,14842,2022-04-18 12:24:47,,1616489377,DollarEuroFrank
63,14840,2022-04-18 12:15:51,Продам 1000€ Челябинск,271272148,DollarEuroFrank
64,14839,2022-04-18 12:11:13,💵 продам $ москва юзао,355153480,DollarEuroFrank
65,14838,2022-04-18 12:10:54,"Куплю  до 3400$ по 87,5 Москва приеду к вам",5347834892,DollarEuroFrank
66,14837,2022-04-18 12:10:36,"Продам евро по 100, СПб",2024610916,DollarEuroFrank
67,14836,2022-04-18 12:09:05,Продам 3500$ по 90 СПб,831676468,DollarEuroFrank
68,14835,2022-04-18 12:09:03,Продам 30к$ Курс 90 Москва,1414683716,DollarEuroFrank
69,14834,2022-04-18 12:02:11,Беру доллары в США даю рубли в России,1576366613,DollarEuroFrank
70,14833,2022-04-18 12:02:06,Продам $. Москва,5051249254,DollarEuroFrank
71,14832,2022-04-18 12:01:52,,5051249254,DollarEuroFrank
72,14831,2022-04-18 12:01:45,"Продам до 3000$ по 90
Мск",463769127,DollarEuroFrank
73,14829,2022-04-18 12:00:14,Продам дол. По 150. Тольятти,333866210,DollarEuroFrank
74,14828,2022-04-18 11:56:04,,2078733912,DollarEuroFrank
75,14827,2022-04-18 11:49:12,Продам 100 евро - 10000 казань,1979272393,DollarEuroFrank
76,14826,2022-04-18 11:45:59,Беру доллары в США даю рубли в России,1576366613,DollarEuroFrank
77,14825,2022-04-18 11:41:06,Продам доллары Екатеринбург,94365040,DollarEuroFrank
78,14824,2022-04-18 11:28:04,,747187820,DollarEuroFrank
79,14823,2022-04-18 11:19:23,🆘Москва СЗАО продам 4000$ по 95❗️писать в лс,537932752,DollarEuroFrank
80,14822,2022-04-18 11:19:22,Продажа или покупка?,1045518369,DollarEuroFrank
81,14820,2022-04-18 11:17:34,Продам евро по 100,2024610916,DollarEuroFrank
82,14818,2022-04-18 11:15:15,Куплю доллар $ Москва,333330549,DollarEuroFrank
