,message_id,dt,text,sender_id,source
0,14085,2022-04-14 14:59:31,"🇺🇸💵USD Американский доллар,Продаю 3000$,Есть новые и старые,все по 100$.💵🇺🇸Санкт-Петербург.",1990667504,DollarEuroFrank
1,14084,2022-04-14 14:51:49,"Продам нал. евро €3000 по 98, Москва.",1114548933,DollarEuroFrank
2,14083,2022-04-14 14:50:53,"Всем хорошего дня и настроения! 

Предложения по обмену валюты на сегодня следующие:
🇺🇸$:  buy: 86₽ / sell: 93₽
🇪🇺€:  buy: 94₽ / sell: 101₽

 ⁃ Оптовый курс от ~100к$/€ уточняйте в ЛС!🔥

- В наших центрах с помощью оборудования мы делаем проверку банкнот на подлинность и степень ветхости👨🏻‍🔧

 ⁃ Осуществляем дополнительную услугу по доставке 🚚 

❗️Курс может меняться в зависимости от ситуации на валютном рынке, поэтому всегда уточняйте его актуальность 📈📉

🕰 График работы: 
Пн-Вс 12:00-21:00.",5267257123,DollarEuroFrank
3,14082,2022-04-14 14:48:55,,5267257123,DollarEuroFrank
4,14081,2022-04-14 14:44:07,"Куплю $ по 87,Москва ЮЗАО",2074020825,DollarEuroFrank
5,14080,2022-04-14 14:40:46,"Куплю до 4700$
Писать в лс 
МОСКВА",1454487393,DollarEuroFrank
6,14079,2022-04-14 14:38:36,куплю по 86,5045361587,DollarEuroFrank
7,14078,2022-04-14 14:38:23,"куплю евро, 94р цао, куплю доллар по 86",5045361587,DollarEuroFrank
8,14077,2022-04-14 14:31:36,"Москва продажа долларов, покупка гривны",1822686894,DollarEuroFrank
9,14076,2022-04-14 14:31:13,Куплю € самара,1060281600,DollarEuroFrank
10,14075,2022-04-14 14:29:41,Продам 600$ москва сегодня,355153480,DollarEuroFrank
11,14074,2022-04-14 14:26:01,"Красногорск, продам 3000$ по 95",189856630,DollarEuroFrank
12,14073,2022-04-14 14:23:04,"Куплю 1300 $ Химки, в личку.",5156669149,DollarEuroFrank
13,14072,2022-04-14 14:20:19,Продам $500- по 100₽ мск,731896425,DollarEuroFrank
14,14071,2022-04-14 14:18:50,продам остатки долларов в Москве по 92р ЦАО,5184328819,DollarEuroFrank
15,14070,2022-04-14 14:14:53,88 продам $1500. Мск,546186049,DollarEuroFrank
16,14069,2022-04-14 14:14:48,Куплю $ по 86-87 Москва срочно,5225008721,DollarEuroFrank
