,message_id,dt,text,sender_id,source
38,20574,2022-04-14 13:33:20,"Краснодар продам наличные
Доллар $ 95
Евро     € 105
Новые купюры, нового образца. Обмен только через проверку в кассе банка. Запрос в л/с",457763062,obmenvmsk
39,20573,2022-04-14 13:31:14,"Куплю 31000 $ по89-89,3",1841832380,obmenvmsk
40,20572,2022-04-14 13:30:53,"💴💵💰
Здравствуйте!
Производим покупку и продажу любой валюты, а также покупаем и продаём криптовалюту в любом объёме, USDT,BTC.
Сделаем в режиме онлайн ( портфель в портфель) вывод денежных средств в любой город Европы, Америки и Азии. Возможна проверка в офисе любого вам удобного банка. 
  ПРОДАЖА        ПОКУПКА
    $ - 93руб.         $ - 88руб
    € - 103 руб.      € -  96руб",1677814075,obmenvmsk
41,20571,2022-04-14 13:26:41,Продам доллары по 92р Москва,456289692,obmenvmsk
42,20570,2022-04-14 13:26:19,,316082949,obmenvmsk
43,20569,2022-04-14 13:17:49,Возьму у вас до 2100$ нал по 87 приеду Москва,1875509524,obmenvmsk
44,20568,2022-04-14 13:17:23,"КУПЛЮ  📍📍📍$$$ 📍📍📍

МОСКВА.    ЦЕНТР  ОТ 50 000 $
Сделка в обменнике

По 89 -89.2₽

 Вопросы в ЛС",1539229364,obmenvmsk
45,20567,2022-04-14 13:16:56,,665482027,obmenvmsk
46,20566,2022-04-14 13:16:04,Куплю $ по 88₽. Москва. Центр. Любая сумма,1934078350,obmenvmsk
47,20565,2022-04-14 13:11:59,"Куплю $ по 87,Москва ЮЗАО",2074020825,obmenvmsk
48,20564,2022-04-14 13:01:10,"Уважаемый админ @wmzxx плизики, не пуш закрепы, ты же не один в телеге 😉",165939838,obmenvmsk
49,20563,2022-04-14 13:00:44,"💵💵💵💵💵💵
Куплю и продам 💲
Москва , писать от 5000💲

Проверка в любом банке✔️

Пишите в личку, договоримся о курсе ‼️",160611403,obmenvmsk
50,20562,2022-04-14 13:00:15,"🌐 Криптообменник в самом центре Москвы - CRYPTOHOUSE!

🔻 отвечаем в течение минуты ⏱

🔻 всегда готовы обсудить наилучший курс для клиента 💸
 
🔻 в центре города (Moscow City) 🏙

🔻 при необходимости направляем курьеров 🚙

🔻 готовы созвониться и подтвердить наличие средств в любое время 📲

Узнайте курс прямо сейчас @cryptohouseBIT

📈 Прикрепите к первому сообщению промокод VD2021, и получите спец. курс на первую сделку.

Узнать подробнее о нас, уточнить актуальные курсы и задать любые вопросы вы так же можете  на сайте cryptohouse.pro",1999976824,obmenvmsk
51,20561,2022-04-14 13:00:07,,1999976824,obmenvmsk
52,20560,2022-04-14 12:59:06,"ПРОДАМ €€ 35000

ПРОДАМ $$ 30000

Любые проверки в банках 
Москва, Зеленоград, Митино",293920550,obmenvmsk
53,20559,2022-04-14 12:58:18,"Куплю USDT по 92р на 360т.р.
ЮВАО, Центр",598365764,obmenvmsk
54,20558,2022-04-14 12:57:30,Куплю $ по курсу 89 - продам $ по курсу 92.5 Куплю € по курсу 98 - продам € по курсу 102.5. Москва. Центр ( операционная касса).,66379545,obmenvmsk
55,20557,2022-04-14 12:54:39,,958976333,obmenvmsk
56,20556,2022-04-14 12:50:47,Продам 1000 по 90. ЮАО,244229413,obmenvmsk
57,20555,2022-04-14 12:45:26,Продам 10000$ по 90 Москва сейчас,370990278,obmenvmsk
58,20554,2022-04-14 12:43:14,"Продам 17 500 долларов по 91,5руб. Сейчас. Москва.",5142700780,obmenvmsk
59,20553,2022-04-14 12:41:56,"ПРОДАМ ДОЛЛАР ПО КУРСУ 94 
САНКТ ПЕТЕРБУРГ 
Московский район",307567284,obmenvmsk
60,20552,2022-04-14 12:41:45,"❗️МСК❗️
Продажа $
До 10.000$ курс 92.5₽ за $
От 10.000$ курс 91.5₽ за $
Обрабатываем заявки от 2.500$

Покупка $
До 10.000$ курс 88₽ за $
От 10.000$ курс 89₽ за $
Обрабатываем заявки от 2.500$

Работаем 11 - 23

Так же оказываем услугу обмена, покупки и продажи любой криптовалюты, лучшие курсы на USDT, BTC, ETH

Сделка проходит в оборудованном офисе в центре Москвы, проверка всех купюр производится на счетной машинке, максимальная безопасность для всех сторон",5381512809,obmenvmsk
61,20551,2022-04-14 12:41:16,Продам доллар 92 мск,253888814,obmenvmsk
62,20550,2022-04-14 12:40:44,Продам бакс по 110,279529600,obmenvmsk
63,20549,2022-04-14 12:37:07,"Продам 
$. Курс 92₽
€. Курс 103₽
USDT за рубли - 95₽
USDT за $ - 3,5% 


Москва-Сити",571992079,obmenvmsk
64,20548,2022-04-14 12:36:56,"Куплю по 85 
Краснагорск",573438513,obmenvmsk
65,20547,2022-04-14 12:32:54,,5381512809,obmenvmsk
66,20546,2022-04-14 12:30:59,,1241231814,obmenvmsk
67,20545,2022-04-14 12:27:17,"Продам 5 тыс $ по 92 , москва",1136513469,obmenvmsk
68,20544,2022-04-14 12:26:58,"Продам 500 евро по 110  руб. Москва, красная ветка север",818774720,obmenvmsk
69,20543,2022-04-14 12:23:52,"Москва 
Куплю доллары по 88
Куплю фунты",543824823,obmenvmsk
70,20542,2022-04-14 12:21:06,Возьму у вас до 2000$ нал по 87 приеду Москва,1875509524,obmenvmsk
71,20541,2022-04-14 12:21:06,Поменяю 900$ по курсу 91₽ центр,167449627,obmenvmsk
72,20540,2022-04-14 12:20:31,Продам  нал  до 1100$  по 91  Москва приеду,839935861,obmenvmsk
73,20539,2022-04-14 12:19:24,Куплю usdt за нал доллары от 30000,972522707,obmenvmsk
74,20538,2022-04-14 12:17:14,"Отдам 1100$ по 90. 
Метро партизанская . 
$ по 100 новые.",916582731,obmenvmsk
75,20537,2022-04-14 12:14:58,"Куплю $ по 86,Москва ЮЗАО",2074020825,obmenvmsk
76,20536,2022-04-14 12:13:24,"Куплю гривну(только нал).
Беларусь🇧🇾
За $",990203749,obmenvmsk
77,20535,2022-04-14 12:13:02,"Продам 20 000 $ по 90,5 руб. Сейчас. Москва.",5142700780,obmenvmsk
78,20534,2022-04-14 12:11:29,"Отдам доллар наличными по 91 руб
Москва
Реутов, Салтыковка",5115593694,obmenvmsk
79,20533,2022-04-14 12:04:53,"Раз здесь все любят валюту, то спрошу. 
Кто хочет поработать на меня и заработать по 150€ за заказ? Все легально и дистанционно",5168591544,obmenvmsk
80,20532,2022-04-14 12:01:26,Продам синие наличные $ по 90,5042872538,obmenvmsk
81,20531,2022-04-14 12:00:32,"Куплю 5000 $
Москва",1012252520,obmenvmsk
82,20530,2022-04-14 11:59:50,"Куплю ЕВРО!!!     Куплю ДОЛЛАР!!!
От 10к€                 От 10к$
Москва и МО.
Встреча возможна в банке! Любая проверка! Я за безопасность! Могу сам приехать в ваш район. 
Все честно!!!
Пишите в л.с./ Звоните",1017828385,obmenvmsk
83,20529,2022-04-14 11:59:20,"Продам 400 по 91,25
Новые, Москва",1754272460,obmenvmsk
84,20528,2022-04-14 11:57:47,"МОСКВА   ЦЕНТР 📍USDT📍
 ПРОДАМ  от35000,50 000 usdt

 за $$ +3% - 3.2%
за  ₽₽  92₽
обсуждается ☝

Вопросы в ЛС",1539229364,obmenvmsk
85,20527,2022-04-14 11:55:38,"Продам 5000$ и 5000€
Москва",714502827,obmenvmsk
86,20526,2022-04-14 11:53:33,Продам $ по 90,923184140,obmenvmsk
87,20525,2022-04-14 11:46:49,"Краснодар продам наличные
Доллар $ 95
Евро     € 105
Новые купюры, нового образца. Обмен только через проверку в кассе банка. Запрос в л/с",457763062,obmenvmsk
88,20524,2022-04-14 11:44:44,"""Продам/Куплю, $ от 5000 курс договорной 
Москва ,проверка в банке 💯",1534753073,obmenvmsk
89,20523,2022-04-14 11:43:37,Переводы средств в 🇦🇪,233330642,obmenvmsk
90,20522,2022-04-14 11:41:51,£££ продам в мск или UK,381683271,obmenvmsk
91,20521,2022-04-14 11:40:33,"Москва, продам по курсу 95, 2000 $",395162462,obmenvmsk
92,20520,2022-04-14 11:38:30,"ПРОДАМ   📍📍📍$$$ 📍📍📍

МОСКВА.    ЦЕНТР  ОТ 50 000 $
Сделка в обменнике

По 90.2- 90.3 ₽/ $

 Вопросы в ЛС",1539229364,obmenvmsk
93,20518,2022-04-14 11:27:13,"Куплю  €по лучшему курсу 

Любые объемы 
СПБ
С полной проверкой в кассе банка",360125318,obmenvmsk
94,20517,2022-04-14 11:22:11,"Продам 
$5000. Курс 91₽
€5000. Курс 101₽
USDT (Tether) за рубли - 94₽
USDT (Tether) за $ - 4% комиссия до $5000, если больше, то индивидуально.
 Можно анонимно! 

Москва. Центр. Киевская 
Новые купюры 💵💵💵
Встреча в банке для проверки купюр",1237515625,obmenvmsk
95,20516,2022-04-14 11:21:25,Возьму у вас до 2000$ нал по 87 приеду Москва,1875509524,obmenvmsk
