,message_id,dt,text,sender_id,source
0,22072,2022-04-18 16:42:29,Куплю 16500$ по 87,730241105,obmenvmsk
1,22071,2022-04-18 16:39:57,Продам 30к$ Курс 89.8 Москва,1414683716,obmenvmsk
2,22070,2022-04-18 16:39:29,"💵💵💵💵💵💵
Куплю и продам 💲
Москва , писать от 5000💲

Проверка в любом банке✔️

Пишите в личку, договоримся о курсе ‼️",160611403,obmenvmsk
3,22069,2022-04-18 16:32:29,"💴💵💰
Здравствуйте!
Производим покупку и продажу любой валюты, а также покупаем и продаём криптовалюту в любом объёме, USDT,BTC.
Сделаем в режиме онлайн ( портфель в портфель) вывод денежных средств в любой город Европы, Америки и Азии. Возможна проверка в офисе любого вам удобного банка. 
  ПРОДАЖА        ПОКУПКА
    $ - 90 руб         $ - 85 руб
    € - 100 руб       € - 95 руб",992258647,obmenvmsk
4,22068,2022-04-18 16:32:28,"ПРОДАМ 10тыс 💵 ПО 89!
БЛИЖАЙШЕЕ ВРЕМЯ!",1889594977,obmenvmsk
5,22067,2022-04-18 16:32:12,"Продам $ по 89.
Встреча в банке.
ЮЗАО. Бутово
Связь в личку",134685349,obmenvmsk
6,22066,2022-04-18 16:31:31,"💴💵💰
Здравствуйте!
Производим покупку и продажу любой валюты, а также покупаем и продаём криптовалюту в любом объёме, USDT,BTC.
Сделаем в режиме онлайн ( портфель в портфель) вывод денежных средств в любой город Европы, Америки и Азии. Возможна проверка в офисе любого вам удобного банка. 
  ПРОДАЖА        ПОКУПКА
    $ - 90 руб         $ - 85 руб
    € - 100 руб       € - 95 руб",1677814075,obmenvmsk
7,22064,2022-04-18 16:26:53,"Отдам доллар по 91
Москва
ЮЗАО Румянцево-Саларьво
Выше 1900$ по 90 руб",5115593694,obmenvmsk
8,22062,2022-04-18 16:24:57,Куплю наличную гривну,5347037089,obmenvmsk
9,22061,2022-04-18 16:21:19,Продам доллар по 90,997177603,obmenvmsk
10,22060,2022-04-18 16:20:51,"Всем хорошего дня и настроения! 

Предложения по обмену валюты на сегодня следующие:
🇺🇸$:  buy: 87₽ / sell: 90₽
🇪🇺€:  buy: 95₽/ sell: 100₽

 ⁃ Оптовый курс от ~100к$/€ уточняйте в ЛС!🔥

- В наших центрах с помощью оборудования мы делаем проверку банкнот на подлинность и степень ветхости👨🏻‍🔧

 ⁃ Осуществляем дополнительную услугу по доставке 🚚 

❗️Курс может меняться в зависимости от ситуации на валютном рынке, поэтому всегда уточняйте его актуальность 📈📉

🕰 График работы: 
Пн-Вс 12:00-21:00.",5267257123,obmenvmsk
11,22059,2022-04-18 16:20:43,"Продам 6000$ по 91,и 1000€ по 99,Москва Юго запад",578982915,obmenvmsk
12,22058,2022-04-18 16:19:49,,194090275,obmenvmsk
13,22057,2022-04-18 16:12:32,"Куплю ЕВРО!!!     Куплю ДОЛЛАР!!!
От 10к€                 От 10к$
Москва и МО.
Встреча возможна в банке! Любая проверка! Я за безопасность! Могу сам приехать в ваш район. 
Все честно!!!
Пишите в л.с./ Звоните",1017828385,obmenvmsk
14,22056,2022-04-18 16:09:40,Продам 30000$ Москва ‼️‼️,1534753073,obmenvmsk
15,22055,2022-04-18 16:08:26,Куплю $ по 88,463569651,obmenvmsk
16,22054,2022-04-18 16:06:57,"💵💵💵💵💵💵
Куплю и продам 💲
Москва , писать от 5000💲

Проверка в любом банке✔️

Пишите в личку, договоримся о курсе ‼️",160611403,obmenvmsk
17,22053,2022-04-18 16:06:12,"🟩Куплю 🟩
 💵$ - 87₽
 💶€ - 95₽
🟥Продам 🟥
 💵$ - 91₽
 💶€ - 101₽

⚡️СЕГОДНЯ! 20к$ по 90₽

✅Москве и МО. 
📳Приемлем торг!

🔥Мы проводим все сделки быстро и анонимно, при личной встрече в офисе! Главное, провести проверку банкнот на подлинность и ветхость, вы можете у нас! 
🤝Фиксируем курс на час!",5225635043,obmenvmsk
18,22052,2022-04-18 16:02:53,"Москва Нахимовский 2к по 90, сейчас",632552541,obmenvmsk
19,22051,2022-04-18 16:02:22,Можно в личку,226128095,obmenvmsk
20,22050,2022-04-18 16:02:07,Куплю наличную гривну,5347037089,obmenvmsk
21,22049,2022-04-18 16:00:20,Продам 100к по 90 Москва,543824823,obmenvmsk
22,22048,2022-04-18 15:59:36,Продам 30к$ Курс 90 Москва,1414683716,obmenvmsk
23,22047,2022-04-18 15:56:23,Обменяю рубли на белорусский рубль,574675798,obmenvmsk
24,22046,2022-04-18 15:54:55,Продам до 3400$ по 90 Москва приеду к вам,5309686315,obmenvmsk
25,22045,2022-04-18 15:54:17,"Продам Швейцарский франк. 5000. По 95 р. Москва , Крылатское",1990772625,obmenvmsk
26,22044,2022-04-18 15:53:20,Также,2096552035,obmenvmsk
27,22043,2022-04-18 15:49:27,"Звонила в ВТБ, наличных нет, какой курс не знают.",1942346551,obmenvmsk
28,22042,2022-04-18 15:49:04,"Краснодар продам наличные
Доллар $ 92
Евро     € 102
Новые купюры, нового образца. Обмен только через проверку в кассе банка. Запрос в л/с",457763062,obmenvmsk
29,22041,2022-04-18 15:48:48,"Продам евро за 75 рублей, 180 тысяч €",1398230714,obmenvmsk
30,22040,2022-04-18 15:45:48,Продам 2000€ по 97 Москва,1589609670,obmenvmsk
31,22039,2022-04-18 15:42:11,"Продам 1000$ по 88р, москва ЗАО",273044768,obmenvmsk
32,22038,2022-04-18 15:42:08,Купил 5к € в Сбере по 90,137217119,obmenvmsk
33,22037,2022-04-18 15:41:04,"Продам евро €€ 80000
              от. 5000
Курс 98,5
Продам $$ 50000
               от. 10000
Курс 88,8 
Любые проверки в банках 
Москва Митино Химки",5283685574,obmenvmsk
34,22036,2022-04-18 15:39:02,"Продам $ Москва 88,9 - 50тыс$.",1368542223,obmenvmsk
35,22035,2022-04-18 15:37:18,"💵💵💵💵💵💵
Куплю и продам 💲
Москва , писать от 5000💲

Проверка в любом банке✔️

Пишите в личку, договоримся о курсе ‼️",160611403,obmenvmsk
